"LeagueIndex","Age","HoursPerWeek","TotalHours","APM","UniqueHotkeys","NumberOfPACs","GapBetweenPACs","ActionLatency","ActionsInPAC","UniqueUnitsMade"
5,27,10,3000,143.718,7,0.0048490365,32.6677,40.8673,4.7508,6
5,23,10,5000,129.2322,4,0.0043070643,32.9194,42.3454,4.8434,5
4,30,10,200,69.9612,4,0.002925755,44.6475,75.3548,4.043,6
3,19,20,400,107.6016,1,0.0037825513,29.2203,53.7352,4.9155,7
3,32,10,500,122.8908,2,0.0023682994,22.6885,62.0813,9.374,4
2,27,6,70,44.457,2,0.0024247065,76.4405,98.7719,3.0965,6
1,21,8,240,46.9962,6,0.0019884959,94.0227,90.5311,4.1017,5
7,17,42,10000,212.6022,6,0.0049524643,24.6117,41.7671,6.6104,9
4,20,14,2708,117.4884,2,0.0053994055,52.014,46.4321,3.3746,7
4,18,24,800,155.9856,8,0.0035689328,24.4632,52.1538,6.5664,6
3,16,16,6000,153.801,4,0.0037723828,23.4107,48.0711,7.0044,7
4,26,4,190,79.2948,3,0.0035549704,39.6381,65.5,4.2269,7
3,18,12,350,67.4754,1,0.002885219,42.437,68.0502,4.3222,7
3,38,6,1000,119.4366,2,0.0027279678,54.8718,79.2102,6.2293,5
5,16,30,5000,160.4754,2,0.0045713125,36.2897,46.8889,5.4361,7
5,17,16,1500,81.7722,4,0.0028998641,45.1654,64.75,4.5312,6
4,28,8,2000,50.8374,1,0.0026564345,45.7902,76.8889,3.5,6
5,20,10,120,160.6464,7,0.0055351629,28.3636,37.7947,4.7671,10
5,16,14,350,107.9118,5,0.0032374101,67.0744,71.3251,4.3786,9
4,26,28,1100,114.7806,5,0.0036498448,40.4427,59.937,4.9961,5
5,21,10,800,115.1274,8,0.0041472322,30.766,49.4854,4.679,8
6,21,6,500,133.7016,3,0.0038743045,21.4686,50.5253,5.4892,10
5,18,20,800,99.5088,1,0.0026954178,22.7265,68.7321,6.7054,7
5,26,10,500,83.9172,3,0.0046073338,51.2082,52.0494,2.8663,9
4,17,14,500,216.6936,4,0.0043343322,27.9255,45.1605,6.3395,5
4,23,20,800,129.8598,5,0.0034726167,36.3934,57.5215,6.7587,11
6,18,70,2520,267.5586,10,0.0056160988,34.6035,40.6025,4.1629,12
5,25,6,800,74.1174,6,0.0035178571,46.4122,71.8173,3.7944,5
5,25,20,700,101.6796,5,0.0034531862,26.7979,54.5979,5.3144,4
6,18,10,160,150.5004,6,0.0046255206,30.2222,45.5941,4.9077,6
3,19,6,150,64.6416,1,0.0027594128,53.5776,78.2944,4.2284,6
3,18,8,250,41.9094,0,0.0021423723,54.4677,91.3069,3.6881,6
5,16,16,1000,128.0784,4,0.0039692588,35.393,56.4019,5.2711,8
6,16,28,500,161.3466,9,0.0041350596,34.1209,47.1034,5.8466,9
4,22,4,400,90.7686,4,0.0034696763,44.7424,59.5321,4.5698,6
6,20,14,730,162.0876,7,0.0039864011,23.5303,51.034,5.7698,6
1,18,6,230,69.5076,4,0.0014589169,45.0612,112.96,9.14,4
3,16,24,300,81.0702,0,0.0026201898,47.48,75.0846,5.0796,6
5,22,8,300,157.332,1,0.0037990325,33.0417,57.7716,5.8581,6
4,23,4,100,67.6194,4,0.0016619053,49.4333,89.9174,7.1322,6
2,25,10,200,75.9642,4,0.0020902802,45.1018,78.3095,6.5417,6
5,25,12,200,164.1114,7,0.0049876014,40.4604,43.7815,5.6365,8
4,20,14,270,101.7864,2,0.004180122,22.569,54.6094,4.2961,4
2,25,8,100,79.128,4,0.0027542373,50.5327,67.1422,5.345,6
4,22,20,1200,120.7014,5,0.0036128638,44.8387,60.9175,4.8089,5
6,18,20,800,108.5424,2,0.0030783717,28.4762,61.9294,5.8353,4
5,18,28,800,84.1578,4,0.0027851901,48.8675,77.7485,4.9042,6
3,23,2,30,66.7818,2,0.0024069569,56.7784,97.9785,4.9355,6
6,18,28,2000,129.1464,4,0.0051460631,25.0245,43.0827,4.1917,9
3,18,8,600,62.2194,0,0.002386059,44.3164,90.8989,4.5393,7
3,20,6,150,72.141,5,0.0033760972,45.9164,68.8778,3.7528,8
4,23,20,100,83.9658,3,0.0029125548,44.0476,78.0706,4.6118,3
5,17,56,540,199.6854,1,0.0047902641,25.3831,33.9054,6.7095,7
4,29,12,800,66.6738,2,0.002292106,38.5126,72.16,5.46,9
2,27,24,250,73.9722,7,0.0026845638,58.8858,88.6889,4.4111,8
6,21,8,730,130.941,10,0.0033845664,36.8047,57.2471,5.7765,2
2,27,8,280,55.047,0,0.0025290845,62.8452,83.8667,3.9333,6
6,16,10,1600,181.104,10,0.0050079854,20.8037,39.2255,5.6993,8
4,22,36,1000,98.6694,1,0.0023917292,52.6957,62.5806,5.828,3
4,18,6,50,107.4186,4,0.0035592255,37.3723,56.0436,5.0873,7
4,18,4,140,119.8716,3,0.002784786,42.6609,67.6068,7.1496,5
5,18,24,200,111.8556,0,0.0039175665,48.1798,54.1513,4.3529,8
3,24,10,200,87.162,1,0.0026348419,38.8354,60.0168,6.1975,7
2,16,24,50,109.038,6,0.003395421,28.555,63.1429,4.8571,6
6,16,42,700,163.4436,4,0.0046632124,27.2557,42.4514,5.3681,9
6,20,16,900,127.6602,5,0.0033443826,22.6667,64.6372,6.4779,6
5,23,12,600,142.5096,7,0.0034806242,39.7778,56.7456,6.6977,9
5,19,6,550,106.4316,0,0.0031981746,25.1294,64.7953,5.7251,3
5,23,8,700,68.6388,2,0.0027343291,84.6087,75.0968,4.6559,3
6,23,40,2000,128.0802,4,0.0035517621,25.2451,50.9612,6.1395,8
6,20,16,625,189.1506,3,0.0037586509,21.1915,48.254,5.6561,4
3,17,8,100,98.634,3,0.0031018663,52.4388,70.9076,5.1849,7
3,35,14,1300,38.6472,0,0.0024576039,54.496,100.988,2.9482,7
2,22,16,450,114.942,2,0.0025776632,31.2208,61.5517,8.1379,7
6,16,28,750,211.0536,7,0.0049548078,33.1129,41.7143,4.706,8
5,21,10,350,77.7252,1,0.0023956776,37.5429,73.3333,5.7234,4
4,28,6,1200,62.8314,4,0.0023957159,44.0139,84.2907,4.7232,9
5,22,6,160,134.571,4,0.0048714638,28.5921,49.506,4.4849,7
4,31,10,400,119.232,2,0.0032215969,30.6242,68.4557,5.9304,5
