"","LeagueIndex","Age","HoursPerWeek","TotalHours","APM","UniqueHotkeys","NumberOfPACs","GapBetweenPACs","ActionLatency","ActionsInPAC","UniqueUnitsMade"
"1",5,23,12,730,118.1706,5,0.0041658498,28.0755,51.2188,4.7835,10
"2",3,16,24,500,74.0214,0,0.003709495,43.3333,60.5202,3.5426,7
"3",5,20,12,800,172.7046,10,0.0033347142,25.8,47.0062,7.6398,4
"4",3,21,36,700,118.1028,4,0.0030617824,40.1256,68.7679,6.558,7
"5",5,25,8,400,159.4872,4,0.0030877175,22.9231,50.4681,8.4383,5
"6",4,20,24,1200,144.0828,5,0.0037863177,38.1706,53.7143,6.1599,6
"7",4,21,12,350,89.9394,10,0.0027250619,31.616,68.6056,5.8367,7
"8",4,19,28,240,102.4092,5,0.0031866597,35.0897,48.0822,5.2808,6
"9",2,31,12,60,95.5152,6,0.0020653061,29.6667,87.4466,8.4704,8
"10",4,25,24,500,96.6258,6,0.0033175355,26.7368,56.781,5.1952,6
"11",4,20,2,100,112.2516,7,0.003710745,37.8479,55.4231,5.0493,8
"12",3,29,12,220,61.0446,2,0.0026889329,61.1656,87,3.1842,7
"13",5,19,16,600,92.364,8,0.0036578369,36.8918,70.7843,4.3856,9
"14",5,25,8,350,86.4678,4,0.0030072419,47.4885,68.7245,5.3929,7
"15",4,23,4,415,59.181,4,0.0025379252,62.5909,84.4528,3.883,8
"16",5,28,6,250,138.1668,8,0.003936798,36.9593,51.7652,6.2957,8
"17",4,23,14,1000,163.875,4,0.0030491761,19.1398,39.0638,9.5638,2
"18",2,18,24,300,65.8302,0,0.0021080787,64.2609,71.5269,5.3978,6
"19",2,16,16,750,78.3252,4,0.0017526925,126.2353,109.7971,6,4
"20",3,18,16,500,76.2204,3,0.0028578669,29.4851,77.8719,4.6108,5
"21",5,20,6,700,123.393,7,0.0037873011,30.6397,52.9128,5.9765,7
"22",3,35,14,1300,38.6472,0,0.0024576039,54.496,100.988,2.9482,7
"23",6,16,2,1260,170.9382,3,0.0040214477,19.8879,43.5556,5.3889,5
"24",4,30,2,200,126.6684,6,0.0037102918,23.0097,62.77,6.2591,7
"25",6,29,28,1400,134.9532,7,0.0037827614,17.0404,51.4821,6.0893,8
"26",2,22,4,200,98.3262,3,0.0026475627,48.4532,66.6275,5.7402,6
"27",4,20,10,1000,141.7512,6,0.0042156362,40.7214,54.7094,4.2799,6
"28",5,16,42,2942,159.585,7,0.0049019608,32.7514,37.303,5.3049,8
"29",7,23,24,1400,203.9028,7,0.0061296563,24.5515,33.2917,4.7358,9
"30",4,20,24,600,86.2686,2,0.0035913988,53.5492,55.9494,3.9019,5
"31",5,25,36,2000,159.5184,6,0.0040691366,33.6306,55.4794,6,7
"32",6,24,14,730,237.2724,5,0.0062407807,18.7517,32.1545,5.0955,6
"33",5,19,10,400,124.7598,5,0.004194019,42.0823,59.5845,4.7126,10
"34",4,22,6,1000,92.3982,4,0.004004741,41.2432,52.7892,3.991,6
"35",4,19,12,700,106.524,0,0.0037463813,35.057,61.7273,4.7879,9
"36",6,17,56,1825,165.321,7,0.0044606435,16.2072,40.1272,6.3161,7
"37",4,19,28,850,89.3526,3,0.0037277069,24.4474,61.4641,4.4379,3
"38",6,25,4,840,74.469,7,0.0037801261,45.1856,62.5193,3.2569,7
"39",4,19,6,150,130.0584,2,0.0044205152,45.3487,57.8126,4.2696,7
"40",4,29,12,600,120.2772,3,0.0044985821,40.8276,49.0315,4.3696,7
"41",4,24,4,220,110.1738,3,0.0036841145,52.5955,59.0891,5.1955,12
"42",5,27,10,700,222.7338,6,0.0035114792,21.6449,41.5516,9.1076,6
"43",4,25,8,200,74.6772,8,0.0030656039,34.1423,73.4333,3.8458,8
"44",1,22,20,315,54.0792,3,0.0021822755,37.1724,111.661,3.9492,5
"45",6,22,56,1500,118.122,6,0.0039704849,48.8711,49.7345,4.1726,3
